LOCN_NBR,STORE_NAME,BIS_NM,ADR,ADDRESS,CTY,CITY,STE,ZIP,PHN,FAX,COM_PHN,HRS,LAT,LNG,DIRE,CD,LOGO,CST_SEV,CNTY,mon_opn,mon_cse,tue_opn,tue_cse,wed_opn,wed_cse,thu_opn,thu_cse,fri_opn,fri_cse,sat_opn,sat_cse,sun_opn,sun_cse,TIME_ZONE,showProductAisleNumber,showProductBayNumber,showMetaProducts,showStoreMapView,showInStockPageView,showProductLocations,leadCaptureEnabled,,,,,,,,,,,,,,,,,,,,,
418,S.W. Gainesville Lowe's,"LOWE'S OF S.W. GAINESVILLE, FL",3500 SW ARCHER ROAD,3500 SW Archer Rd,GAINESVILLE,Gainesville,FL,32608,(352) 376-9900,(352) 335-0125,(352) 376-2190,,29.62722803,-82.37517326,,N,,,US,06.00.00,21.00.00,06.00.00,21.00.00,06.00.00,21.00.00,06.00.00,21.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,20.00.00,America/New_York,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
3,S.E. Columbus Lowe's,"LOWE'S OF S.E. COLUMBUS, OH",2888 BRICE ROAD,2888 Brice Rd,COLUMBUS,Columbus,OH,43232,(614) 575-6000,(614) 575-5964,(614) 604-1044,,39.9207769,-82.83027739,,N,,,US,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,08.00.00,20.00.00,America/New_York,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
4,Rainier Lowe's,"LOWE'S OF RAINIER, WA",2700 RAINIER AVENUE SOUTH,2700 Rainier Ave South,SEATTLE,Seattle,WA,98144,(206) 760-0832,(206) 723-5367,(206) 403-2099,,47.57956219,-122.298188,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,21.00.00,America/Los_Angeles,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
5,Shawnee Lowe's,"LOWE'S OF SHAWNEE, OK",4817 NORTH KICKAPOO STREET,4817 North Kickapoo St,SHAWNEE,Shawnee,OK,74804,(405) 878-8000,(405) 878-9402,(405) 788-3019,,35.38176908,-96.92790233,,N,,,US,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,08.00.00,20.00.00,America/Chicago,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
8,Columbia Lowe's,"LOWE'S OF COLUMBIA, MO",201 CONLEY ROAD NORTH,201 Conley Rd North,COLUMBIA,Columbia,MO,65201,(573) 499-6767,(573) 449-8341,(573) 499-6906,,38.95294057,-92.2961413,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,20.00.00,America/Chicago,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
9,Bellefontaine Lowe's,"LOWE'S OF BELLEFONTAINE, OH",2168 US 68 SOUTH,2168 U.S. 68 South,BELLEFONTAINE,Bellefontaine,OH,43311,(937) 599-4000,(937) 599-4018,(937) 599-5069,,40.33007517,-83.7635166,,N,,,US,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,08.00.00,20.00.00,America/New_York,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
10,Tukwila Lowe's,"LOWE'S OF TUKWILA, WA",101 ANDOVER PARK EAST,101 Andover Park East,TUKWILA,Tukwila,WA,98188,(206) 243-5470,(206) 243-8843,(206) 403-2068,,47.46052912,-122.2509927,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,21.00.00,America/Los_Angeles,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
12,Lafayette Lowe's,"LOWE'S OF LAFAYETTE, IN",100 NORTH CREASY LANE,100 North Creasy Ln,LAFAYETTE,Lafayette,IN,47905,(765) 448-1900,(765) 449-8539,(765) 269-2077,,40.41879704,-86.84101766,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,20.00.00,America/New_York,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
15,Layton Lowe's,"LOWE'S OF LAYTON, UT",1055 W. ANTELOPE DRIVE,1055 W. Antelope Dr,LAYTON,Layton,UT,84041,(801) 776-4447,(801) 776-4797,(801) 820-1051,,41.08815351,-111.9851004,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,20.00.00,America/Denver,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
16,Madisonville Lowe's,"LOWE'S OF MADISONVILLE, KY",550 ISLAND FORD ROAD,550 Island Ford Rd,MADISONVILLE,Madisonville,KY,42431,(270) 825-1999,(270) 821-1301,(270) 824-2249,,37.35070647,-87.48827347,,N,,,US,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,09.00.00,19.00.00,America/Chicago,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
18,Coeur D'alene Lowe's,"LOWE'S OF COEUR D'ALENE, ID",901 APPLEWAY AVENUE,901 Appleway Ave,COEUR D ALENE,Coeur D Alene,ID,83814,(208) 665-1313,(208) 666-0243,(208) 666-1102,,47.70210105,-116.8010156,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,20.00.00,America/Los_Angeles,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
19,Fremont Lowe's,"LOWE'S OF FREMONT, OH","1952 NORTH STATE, ROUTE 53","1952 North State, Route 53",FREMONT,Fremont,OH,43420,(419) 355-0221,(419) 355-0243,(419) 334-7665,,41.37200545,-83.11959845,,N,,,US,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,08.00.00,19.00.00,America/New_York,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
21,Kahului Lowe's,"LOWE'S OF KAHULUI, HI","270 DAIRY ROAD, BUILDING A","270 Dairy Road, Building A",KAHULUI,Kahului,HI,96732,(808) 873-0383,(808) 873-0309,(808) 873-0813,,20.88120876,-156.4539812,,N,,,US,06.00.00,21.00.00,06.00.00,21.00.00,06.00.00,21.00.00,06.00.00,21.00.00,06.00.00,21.00.00,06.00.00,21.00.00,07.00.00,20.00.00,Pacific/Honolulu,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
22,Lebanon Lowe's,"LOWE'S OF LEBANON, PA",1755 QUENTIN ROAD,1755 Quentin Rd,LEBANON,Lebanon,PA,17042,(717) 228-3300,(717) 228-0175,(717) 202-6019,,40.31076982,-76.42625703,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,20.00.00,America/New_York,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
26,Tacoma Lowe's,"LOWE'S OF TACOMA, WA",2701 SOUTH ORCHARD STREET,2701 South Orchard St,TACOMA,Tacoma,WA,98466,(253) 460-0471,(253) 460-7485,(253) 985-9027,,47.23653478,-122.5033095,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,21.00.00,America/Los_Angeles,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
28,Texas City Lowe's,"LOWE'S OF TEXAS CITY, TX",3620 EMMETT F. LOWRY EXPWAY,3620 Emmett F. Lowry Expway,TEXAS CITY,Texas City,TX,77590,(409) 945-8888,(409) 945-0543,(409) 941-6509,,29.3973369,-94.95300126,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,20.00.00,America/Chicago,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
31,Hendersonville Lowe's,"LOWE'S OF HENDERSONVILLE, NC","1415 7TH AVENUE, EAST","1415 7th Avenue, East",HENDERSONVILLE,Hendersonville,NC,28792,(828) 696-4900,(828) 696-0635,(828) 393-2019,,35.33054153,-82.45061212,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,20.00.00,America/New_York,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
33,Newnan Lowe's,"LOWE'S OF NEWNAN, GA",955 BULLSBORO DRIVE,955 Bullsboro Dr,NEWNAN,Newnan,GA,30265,(770) 304-1600,(770) 253-2754,(678) 416-4052,,33.39372079,-84.74735586,,N,,,US,06.00.00,21.00.00,06.00.00,21.00.00,06.00.00,21.00.00,06.00.00,21.00.00,06.00.00,21.00.00,06.00.00,21.00.00,08.00.00,20.00.00,America/New_York,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
35,Mount Vernon Lowe's,"LOWE'S OF MOUNT VERNON, WA",1717 FREEWAY DRIVE,1717 Freeway Dr,MOUNT VERNON,Mount Vernon,WA,98273,(360) 424-5838,(360) 848-7718,(360) 404-6019,,48.43699557,-122.344553,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,07.00.00,21.00.00,America/Los_Angeles,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
37,W. Columbus Lowe's,"LOWE'S OF W. COLUMBUS, OH",3600 PARK MILL RUN DRIVE,3600 Park Mill Run Dr,HILLIARD,Hilliard,OH,43026,(614) 529-5900,(614) 529-5930,(614) 606-9045,,40.02796531,-83.11888311,,N,http://images.lowes.com/general/n/NRdiamond.gif,,US,07.00.00,22.00.00,07.00.00,22.00.00,07.00.00,22.00.00,07.00.00,22.00.00,07.00.00,22.00.00,07.00.00,22.00.00,08.00.00,20.00.00,America/New_York,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
40,Bellevue Lowe's,"LOWE'S OF BELLEVUE, WA",11959 NORTHUP WAY,11959 Northup Way,BELLEVUE,Bellevue,WA,98005,(425) 646-9031,(425) 450-1193,(425) 698-6019,,47.63090476,-122.1814088,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,21.00.00,America/Los_Angeles,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
42,Dayton-trotwood Lowe's,"LOWE'S OF DAYTON-TROTWOOD, OH",5252 SALEM AVENUE,5252 Salem Ave,TROTWOOD,Trotwood,OH,45426,(937) 854-8200,(937) 837-1118,(937) 248-2021,,39.8198677,-84.2878297,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,20.00.00,America/New_York,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
44,Steubenville Lowe's,"LOWE'S OF STEUBENVILLE, OH",4115 MALL DRIVE,4115 Mall Dr,STEUBENVILLE,Steubenville,OH,43952,(740) 266-3500,(740) 266-3525,(740) 275-3049,,40.37209315,-80.67171508,,N,,,US,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,08.00.00,20.00.00,America/New_York,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
46,Benton Harbor Lowe's,"LOWE'S OF BENTON HARBOR, MI",1300 MALL DRIVE,1300 Mall Dr,BENTON HARBOR,Benton Harbor,MI,49022,(269) 927-6000,(269) 927-9070,(269) 757-9021,,42.07996318,-86.42613112,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,20.00.00,America/New_York,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
52,Danville Lowe's,"LOWE'S OF DANVILLE, IL",3636 NORTH VERMILLION,3636 North Vermillion,DANVILLE,Danville,IL,61832,(217) 442-5200,(217) 442-3630,(217) 431-7001,,40.18850132,-87.63109426,,N,,,US,06.00.00,21.00.00,06.00.00,21.00.00,06.00.00,21.00.00,06.00.00,21.00.00,06.00.00,21.00.00,06.00.00,21.00.00,08.00.00,20.00.00,America/Chicago,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
53,W. Fort Wayne Lowe's,"LOWE'S OF W. FORT WAYNE, IN",4430 ILLINOIS ROAD,4430 Illinois Rd,FORT WAYNE,Fort Wayne,IN,46804,(260) 436-8855,(260) 459-6146,(260) 435-2319,,41.07614576,-85.19969711,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,20.00.00,America/New_York,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
56,Norwalk Lowe's,"LOWE'S OF NORWALK, CA",14873 CARMENITA ROAD,14873 Carmenita Rd,NORWALK,Norwalk,CA,90650,(562) 926-0826,(562) 926-7441,(562) 405-9064,,33.896063,-118.0482247,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,07.00.00,21.00.00,America/Los_Angeles,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
57,Burlington Lowe's,"LOWE'S OF BURLINGTON, IA",3435 AGENCY,3435 Agency,BURLINGTON,Burlington,IA,52601,(319) 752-3333,(319) 752-1861,(319) 758-8029,,40.81244092,-91.14932619,,N,,,US,06.00.00,21.00.00,06.00.00,21.00.00,06.00.00,21.00.00,06.00.00,21.00.00,06.00.00,21.00.00,06.00.00,21.00.00,08.00.00,20.00.00,America/Chicago,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
59,De Kalb Lowe's,"LOWE'S OF DE KALB, IL",2050 SYCAMORE ROAD,2050 Sycamore Rd,DEKALB,Dekalb,IL,60115,(815) 754-4800,(815) 787-4410,(815) 593-9019,,41.94887414,-88.72639935,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,07.00.00,22.00.00,08.00.00,20.00.00,America/Chicago,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
61,Smokey Point Lowe's,"LOWE'S OF SMOKEY POINT, WA",3300 169TH PLACE NE,3300 169th Pl NE,ARLINGTON,Arlington,WA,98223,(360) 653-7405,(360) 653-7108,(360) 654-5059,,48.14980008,-122.1863364,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,21.00.00,America/Los_Angeles,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
63,Midland Lowe's,"LOWE'S OF MIDLAND, TX",3315 NORTH LOOP 250 W.,3315 North Loop 250 W.,MIDLAND,Midland,TX,79707,(432) 689-2828,(432) 689-0613,(432) 848-0040,,32.01324328,-102.1603897,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,20.00.00,America/Chicago,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
66,MT. Vernon Lowe's,"LOWE'S OF MT. VERNON, IL",111 DAVIDSON AVENUE,111 Davidson Ave,MOUNT VERNON,Mount Vernon,IL,62864,(618) 244-9400,(618) 244-9237,(618) 316-5021,,38.310363,-88.96146668,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,20.00.00,America/Chicago,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
69,Battle Creek Lowe's,"LOWE'S OF BATTLE CREEK, MI",6122 B DRIVE NORTH,6122 B Dr North,BATTLE CREEK,Battle Creek,MI,49014,(269) 979-5500,(269) 979-5514,(269) 719-4019,,42.25941293,-85.17455881,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,20.00.00,America/New_York,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
71,Goshen Lowe's,"LOWE'S OF GOSHEN, IN",2219 RIETH BOULEVARD,2219 Rieth Blvd,GOSHEN,Goshen,IN,46526,(574) 875-7000,(574) 875-1749,(574) 875-3715,,41.61774424,-85.89532431,,N,,,US,07.00.00,22.00.00,07.00.00,22.00.00,07.00.00,22.00.00,07.00.00,22.00.00,07.00.00,22.00.00,07.00.00,22.00.00,08.00.00,20.00.00,America/New_York,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
72,Ponca City Lowe's,"LOWE'S OF PONCA CITY, OK",3500 NORTH 14TH STREET,3500 North 14th St,PONCA CITY,Ponca City,OK,74601,(580) 765-1111,(580) 763-0143,(580) 765-1673,,36.7470125,-97.06883855,,N,,,US,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,09.00.00,20.00.00,America/Chicago,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
75,Wichita Falls Lowe's,"LOWE'S OF WICHITA FALLS, TX",3301 KELL BLVD.,3301 Kell Blvd,WICHITA FALLS,Wichita Falls,TX,76308,(940) 692-9955,(940) 692-6498,(940) 447-9050,,33.88059045,-98.53766598,,N,,,US,07.00.00,22.00.00,07.00.00,22.00.00,07.00.00,22.00.00,07.00.00,22.00.00,07.00.00,22.00.00,07.00.00,22.00.00,08.00.00,20.00.00,America/Chicago,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
77,Sandusky Lowe's,"LOWE'S OF SANDUSKY, OH",5500 MILAN ROAD - SPACE 304,5500 Milan Rd - Space 304,SANDUSKY,Sandusky,OH,44870,(419) 624-6000,(419) 624-4483,(419) 627-6968,,41.40710969,-82.6597516,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,20.00.00,America/New_York,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
80,Champaign Lowe's,"LOWE'S OF CHAMPAIGN, IL",1904 NORTH PROSPECT AVENUE,1904 North Prospect Ave,CHAMPAIGN,Champaign,IL,61822,(217) 373-7300,(217) 398-0963,(217) 560-9179,,40.1390218,-88.25544712,,N,,,US,06.30.00,22.00.00,06.30.00,22.00.00,06.30.00,22.00.00,06.30.00,22.00.00,06.30.00,22.00.00,06.30.00,22.00.00,08.00.00,20.00.00,America/Chicago,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
